doc_id;word;start;end;babelSynsetID;score;coherence;global
2015-KRLGa;process;0;6;bn:00064536n;0.0;0.0;0.0
2015-KRLGa;aware;8;12;bn:00097879a;0.0;0.0;0.0
2015-KRLGa;information system;14;31;bn:00025331n;1.0;0.3786407766990291;0.008395045488111503
2015-KRLGa;support;38;44;bn:00075330n;0.0;0.0;0.0
2015-KRLGa;knowledge;46;54;bn:00020452n;0.784221427226511;0.6601941747572816;0.024904105739305137
2015-KRLGa;intensive;56;64;bn:00105256a;0.0;0.0;0.0
2015-KRLGa;process gain;66;77;bn:01295388n;1.0;0.009708737864077669;1.4948442820711366e-06
2015-KRLGa;importance;79;88;bn:03195989n;0.8382352941176471;0.14563106796116504;0.00042603062039027397
2015-KRLGa;nowadays;90;97;bn:00116382r;0.0;0.0;0.0
2015-KRLGa;crisis management;99;115;bn:02836923n;1.0;0.2621359223300971;0.0019776789851801138
2015-KRLGa;management process;106;123;bn:03127800n;1.0;0.21359223300970873;0.0016114421360726853
2015-KRLGa;example;125;131;bn:00032100n;0.769835035349568;0.27184466019417475;0.004394842189289142
2015-KRLGa;knowledge;133;141;bn:00020452n;0.784221427226511;0.6601941747572816;0.024904105739305137
2015-KRLGa;intensive;143;151;bn:00105256a;0.0;0.0;0.0
2015-KRLGa;process;153;159;bn:00064536n;0.0;0.0;0.0
2015-KRLGa;ground;161;166;bn:00028934n;0.0;0.0;0.0
2015-KRLGa;vast;168;171;bn:00098905a;1.0;0.04854368932038835;3.737110705177842e-05
2015-KRLGa;experience;173;182;bn:00032306n;0.8957470831765149;0.33980582524271846;0.0035577293913293053
2015-KRLGa;multiple;184;191;bn:00107028a;1.0;0.009708737864077669;1.4948442820711366e-06
2015-KRLGa;actor;193;197;bn:00001176n;0.0;0.0;0.0
2015-KRLGa;city service;203;214;bn:14304163n;1.0;0.02912621359223301;1.345359853864023e-05
2015-KRLGa;volunteer;216;224;bn:02438777n;0.8301886792452831;0.10679611650485436;0.00019731944523339003
2015-KRLGa;administration;226;239;bn:00001422n;0.0;0.0;0.0
2015-KRLGa;collaboration;241;253;bn:02387665n;0.9683426443202979;0.1941747572815534;0.0007773190266769911
2015-KRLGa;automated;255;263;bn:00082941v;1.0;0.02912621359223301;2.242266423106705e-05
2015-KRLGa;crisis management;265;281;bn:02836923n;1.0;0.2621359223300971;0.0019776789851801138
2015-KRLGa;management system;272;288;bn:01510781n;1.0;0.22330097087378642;0.00240669929413453
2015-KRLGa;comply;290;295;bn:00082139v;1.0;0.02912621359223301;1.345359853864023e-05
2015-KRLGa;norm;305;308;bn:00058008n;0.0;0.0;0.0
2015-KRLGa;regulation time;310;324;bn:00066936n;1.0;0.019417475728155338;5.979377128284546e-06
2015-KRLGa;need;326;329;bn:00091028v;0.9352750809061489;0.1650485436893204;0.0004320099975185585
2015-KRLGa;constantly;331;340;bn:00114251r;0.8;0.019417475728155338;5.979377128284546e-06
2015-KRLGa;deal;342;345;bn:00082339v;0.0;0.0;0.0
2015-KRLGa;uncertainty;347;357;bn:00064069n;0.0;0.0;0.0
2015-KRLGa;adapt;359;363;bn:00082215v;0.8571428571428571;0.17475728155339806;0.0005650511386228897
2015-KRLGa;process;365;371;bn:00064536n;0.0;0.0;0.0
2015-KRLGa;scenario;373;380;bn:01190125n;0.9445843828715366;0.14563106796116504;0.0005605666057766762
2015-KRLGa;current;382;388;bn:00100790a;0.0;0.0;0.0
2015-KRLGa;situation;390;398;bn:00071869n;0.0;0.0;0.0
2015-KRLGa;paper;400;404;bn:00060464n;0.0;0.0;0.0
2015-KRLGa;consider;406;413;bn:00083370v;0.7142857142857143;0.1650485436893204;0.0005082470559041864
2015-KRLGa;example;415;421;bn:00032100n;0.769835035349568;0.27184466019417475;0.004394842189289142
2015-KRLGa;flood management;423;438;bn:00035297n;1.0;0.06796116504854369;8.371127979598365e-05
2015-KRLGa;management process;429;446;bn:03127800n;1.0;0.21359223300970873;0.0016114421360726853
2015-KRLGa;implement;448;456;bn:00084595v;0.851063829787234;0.14563106796116504;0.0003587626276970728
2015-KRLGa;cos;463;465;bn:03792862n;0.7043478260869566;0.08737864077669903;0.00012108238684776207
2015-KRLGa;operation;467;475;bn:00059125n;0.0;0.0;0.0
2015-KRLGa;center;477;482;bn:00017120n;0.0;0.0;0.0
2015-KRLGa;cosoc;484;488;bn:01821958n;1.0;0.02912621359223301;1.793813138485364e-05
2015-KRLGa;smart city;490;499;bn:00427376n;0.98;0.06796116504854369;7.324736982148569e-05
2015-KRLGa;solution;501;508;bn:00072760n;0.8342644320297952;0.1553398058252427;0.0006696902383678692
2015-KRLGa;work;510;513;bn:00081568n;0.0;0.0;0.0
2015-KRLGa;knowledge;515;523;bn:00020452n;0.784221427226511;0.6601941747572816;0.024904105739305137
2015-KRLGa;intensive;525;533;bn:00105256a;0.0;0.0;0.0
2015-KRLGa;process;535;541;bn:00064536n;0.0;0.0;0.0
2015-KRLGa;examine;543;549;bn:00082596v;0.0;0.0;0.0
2015-KRLGa;activity;551;558;bn:00001172n;0.0;0.0;0.0
2015-KRLGa;oriented;560;567;bn:00091200v;0.7808764940239044;0.13592233009708737;0.00029298947928594276
2015-KRLGa;modeling;569;576;bn:00090876v;0.9230769230769231;0.17475728155339806;0.000645772729854731
2015-KRLGa;paradigm;578;585;bn:00060542n;0.0;0.0;0.0
2015-KRLGa;underlie;587;594;bn:00095361v;0.7804878048780488;0.038834951456310676;4.783501702627637e-05
2015-KRLGa;cosoc;596;600;bn:01821958n;1.0;0.02912621359223301;1.793813138485364e-05
2015-KRLGa;support;602;608;bn:00075330n;0.0;0.0;0.0
2015-KRLGa;process;610;616;bn:00064536n;0.0;0.0;0.0
2015-KRLGa;flexibility;618;628;bn:03298514n;0.9157392686804452;0.23300970873786409;0.0008610303064729748
2015-KRLGa;propose;630;636;bn:00082486v;0.84375;0.17475728155339806;0.00048432954739104826
2015-KRLGa;alternative way;638;652;bn:01529413n;1.0;0.009708737864077669;2.989688564142273e-06
2015-KRLGa;specify;654;660;bn:00085560v;0.0;0.0;0.0
2015-KRLGa;flood management;662;677;bn:00035297n;1.0;0.06796116504854369;8.371127979598365e-05
2015-KRLGa;management process;668;685;bn:03127800n;1.0;0.21359223300970873;0.0016114421360726853
2015-KRLGa;base;687;690;bn:00008781n;0.0;0.0;0.0
2015-KRLGa;state;692;696;bn:00023236n;0.8441128792139478;0.7864077669902912;0.03814095185704505
2015-KRLGa;oriented;698;705;bn:00091200v;0.7808764940239044;0.13592233009708737;0.00029298947928594276
2015-KRLGa;paradigm;707;714;bn:00060542n;0.0;0.0;0.0
2015-KRLGa;statecharts;716;726;bn:01128895n;1.0;0.24271844660194175;0.0014574731750193583
2015-KRLGa;formalism;728;736;bn:00035933n;0.0;0.0;0.0
2015-KRLGa;discuss;738;744;bn:00086931v;0.8648648648648649;0.1553398058252427;0.00047835017026276374
2015-KRLGa;advantage;746;754;bn:03399058n;0.8666666666666667;0.1262135922330097;0.0002526286836700221
2015-KRLGa;limitation;756;765;bn:00051253n;0.9212121212121213;0.1553398058252427;0.00045443266174962553
2015-KRLGa;paradigm;771;778;bn:00060542n;0.0;0.0;0.0
2010-GRN;innovative;0;9;bn:00103816a;0.8888888888888888;0.037383177570093455;0.00014398329793743927
2010-GRN;enterprise architecture;11;33;bn:00655130n;1.0;0.1308411214953271;0.004409488499334077
2010-GRN;approach;38;45;bn:00005141n;0.0;0.0;0.0
2010-GRN;develop;47;53;bn:00086733v;0.0;0.0;0.0
2010-GRN;researcher;55;64;bn:00067280n;0.8160971223021583;0.308411214953271;0.016333105359778267
2010-GRN;focus;66;70;bn:00017153n;0.7906976744186046;0.1588785046728972;0.0027536805730535257
2010-GRN;evaluation;72;81;bn:00031973n;0.8012012012012012;0.27102803738317754;0.012004607465533997
2010-GRN;analysis;83;90;bn:00003793n;0.0;0.0;0.0
2010-GRN;organization;92;103;bn:00059480n;0.8647281921618205;0.35514018691588783;0.03077642993412764
2010-GRN;usually;105;111;bn:00114778r;1.0;0.1588785046728972;0.0033656095892876424
