doc_id;word;start;end;babelSynsetID;score;coherence;global
2021-JDR;general;4;10;bn:00103507a;0.0;0.0;0.0
2021-JDR;dater;12;16;bn:13760425n;0.0;0.0;0.0
2021-JDR;protection;18;27;bn:00064837n;0.0;0.0;0.0
2021-JDR;regulation;29;38;bn:00059436n;0.0;0.0;0.0
2021-JDR;gdpr;40;43;bn:00730526n;0.0;0.0;0.0
2021-JDR;dramatically;45;56;bn:00115126r;0.0;0.0;0.0
2021-JDR;affect;58;63;bn:00082430v;0.7142857142857143;0.12195121951219512;0.002153501593591179
2021-JDR;way;69;71;bn:00033729n;0.7405128205128205;0.4634146341463415;0.062193126022913256
2021-JDR;organizations;73;85;bn:00059480n;0.8121720881427072;0.43902439024390244;0.06667240933758291
2021-JDR;approach;87;94;bn:00082732v;0.0;0.0;0.0
2021-JDR;dater;96;100;bn:13760425n;0.0;0.0;0.0
2021-JDR;privacy;102;108;bn:00064476n;0.0;0.0;0.0
2021-JDR;forcing;110;116;bn:00085252v;0.0;0.0;0.0
2021-JDR;rethink;126;132;bn:00092934v;1.0;0.024390243902439025;8.614006374364717e-05
2021-JDR;upgrade;138;144;bn:00095455v;0.8;0.04878048780487805;0.0003445602549745887
2021-JDR;business processes;152;169;bn:02788029n;1.0;0.14634146341463414;0.010853648031699543
2021-JDR;order;174;178;bn:00059303n;0.0;0.0;0.0
2021-JDR;comply;183;188;bn:00082139v;1.0;0.024390243902439025;8.614006374364717e-05
2021-JDR;gdpr;195;198;bn:00730526n;0.0;0.0;0.0
2021-JDR;systematic literature review;213;240;bn:02352276n;1.0;0.12195121951219512;0.002584201912309415
2021-JDR;slr;242;244;bn:03562289n;0.0;0.0;0.0
2021-JDR;examiner;249;256;bn:00032097n;0.9;0.07317073170731707;0.0007752605736928245
2021-JDR;primary;262;268;bn:00099598a;0.8181818181818182;0.07317073170731707;0.0007752605736928245
2021-JDR;studies;270;276;bn:00074790n;0.0;0.0;0.0
2021-JDR;identify;278;285;bn:00089574v;0.0;0.0;0.0
2021-JDR;research;291;298;bn:00067280n;0.7829181494661922;0.24390243902439024;0.018950814023602377
2021-JDR;carried;300;306;bn:00084554v;0.0;0.0;0.0
2021-JDR;methods;316;322;bn:00054625n;0.0;0.0;0.0
2021-JDR;proposed;333;340;bn:00082417v;0.0;0.0;0.0
2021-JDR;applied;342;348;bn:00082705v;0.0;0.0;0.0
2021-JDR;integrated;354;363;bn:00089663v;0.0;0.0;0.0
2021-JDR;avoir;370;374;bn:01588530n;0.0;0.0;0.0
2021-JDR;business process;376;391;bn:02788029n;1.0;0.14634146341463414;0.010853648031699543
2021-JDR;life;393;396;bn:00051045n;0.0;0.0;0.0
2021-JDR;cycler;398;403;bn:13719980n;0.0;0.0;0.0
2021-JDR;defined;405;411;bn:00086464v;0.0;0.0;0.0
2021-JDR;bpm;416;418;bn:00009418n;0.0;0.0;0.0
2021-JDR;cope with;423;431;bn:00085799v;1.0;0.024390243902439025;0.00017228012748729435
2021-JDR;new;438;440;bn:00107267a;0.0;0.0;0.0
2021-JDR;regulation;442;451;bn:00059436n;0.0;0.0;0.0
2024-RDJ;general;4;10;bn:00103507a;0.0;0.0;0.0
2024-RDJ;dater;12;16;bn:13760425n;0.0;0.0;0.0
