doc_id;babelSynsetID;word;count
2010-BATI;bn:00000550n;academia;1
2010-BATI;bn:00007985n;discipline;1
2010-BATI;bn:00010264n;offer;1
2010-BATI;bn:00014137n;business;4
2010-BATI;bn:00023853n;criterion;1
2010-BATI;bn:00032100n;example;1
2010-BATI;bn:00032306n;experience;1
2010-BATI;bn:00034898n;fitness;1
2010-BATI;bn:00042117n;guideline;2
2010-BATI;bn:00054019n;measurement;2
2010-BATI;bn:00057017n;environment;1
2010-BATI;bn:00059136n;operationalisation;1
2010-BATI;bn:00059480n;formation;2
2010-BATI;bn:00061500n;perception;2
2010-BATI;bn:00063994n;practitioner;2
2010-BATI;bn:00067280n;academic research;1
2010-BATI;bn:00077585n;tool;1
2010-BATI;bn:00102171a;empirical;2
2010-BATI;bn:00110621a;significant;1
2010-BATI;bn:00670896n;depth;1
2010-BATI;bn:01932511n;criterion validity;1
2010-BATI;bn:02245863n;usability;1
2010-BATI;bn:02747390n;research community;1
2010-BATI;bn:17095877n;empirical validation;1
2010-BPM;bn:00005934n;deco;1
2010-BPM;bn:00019220n;circumstance;1
2010-BPM;bn:00021547n;concept;1
2010-BPM;bn:00021961n;effect;1
2010-BPM;bn:00031009n;initiative;1
2010-BPM;bn:00032100n;example;1
2010-BPM;bn:00054633n;methodology;1
2010-BPM;bn:00055954n;mortgage;1
2010-BPM;bn:00070404n;semantics;1
2010-BPM;bn:00070697n;set;1
2010-BPM;bn:00072760n;solution;1
2010-BPM;bn:00073217n;specification;1
2010-BPM;bn:00082226v;achieve;1
2010-BPM;bn:00082845v;assemble;1
2010-BPM;bn:00086465v;define;1
2010-BPM;bn:00090876v;modeling;3
2010-BPM;bn:00091200v;oriented;1
2010-BPM;bn:00101019a;declarative;1
2010-BPM;bn:00101225a;descriptive;1
2010-BPM;bn:00111806a;theoretical;1
2010-BPM;bn:00912901n;process model;1
2010-BPM;bn:02291059n;rfp;1
2010-BPM;bn:02370529n;bpmn;1
2010-BPM;bn:03127800n;management process;3
2010-BPM;bn:03537096n;case management;5
2010-BPM;bn:03558977n;process specification;1
2010-GRN;bn:00002179n;aim;1
2010-GRN;bn:00005090n;applicability;2
2010-GRN;bn:00005603n;input parameter;2
2010-GRN;bn:00014137n;business;2
2010-GRN;bn:00017153n;focus;1
2010-GRN;bn:00020452n;knowledge;3
2010-GRN;bn:00021961n;effect;1
2010-GRN;bn:00022168n;context;1
2010-GRN;bn:00031973n;evaluation;1
2010-GRN;bn:00032100n;example;1
2010-GRN;bn:00049573n;project;1
2010-GRN;bn:00053662n;mass;1
2010-GRN;bn:00054019n;measurement;3
2010-GRN;bn:00059480n;formation;2
2010-GRN;bn:00063994n;practitioner;1
2010-GRN;bn:00067280n;academic research;3
2010-GRN;bn:00067417n;retail company;1
2010-GRN;bn:00070697n;set;1
2010-GRN;bn:00082247v;gather;1
2010-GRN;bn:00083370v;believe;1
2010-GRN;bn:00084595v;implement;1
2010-GRN;bn:00087826v;illustrate;1
2010-GRN;bn:00101358a;difficult;1
2010-GRN;bn:00102620a;extensive;1
2010-GRN;bn:00106527a;meaningful;1
2010-GRN;bn:00108829a;possible;2
2010-GRN;bn:00108977a;present;2
2010-GRN;bn:00114778r;usually;1
2010-GRN;bn:00353055n;quality;1
2010-GRN;bn:00655130n;enterprise architecture;1
2011-RDN;bn:00005158n;approval;1
2011-RDN;bn:00020452n;knowledge;1
2011-RDN;bn:00021547n;concept;1
2011-RDN;bn:00055954n;mortgage;1
2011-RDN;bn:00059480n;formation;1
2011-RDN;bn:00083095v;banking;1
2011-RDN;bn:00086465v;define;1
2011-RDN;bn:00105258a;intensive;1
2011-RDN;bn:00108880a;practical;1
2011-RDN;bn:00285559n;business process model;1
2011-RDN;bn:00912901n;process model;1
2011-RDN;bn:03127800n;management process;1
2011-RDN;bn:03537096n;case management;1
2011-RDN;bn:15340438n;process work;1
2011-RN;bn:00005934n;deco;1
2011-RN;bn:00021248n;community;1
2011-RN;bn:00026107n;demand;1
2011-RN;bn:00027523n;discussion;1
2011-RN;bn:00030721n;goal;1
2011-RN;bn:00053867n;matter;1
2011-RN;bn:00073217n;specification;1
2011-RN;bn:00077462n;today;1
2011-RN;bn:00087826v;illustrate;1
2011-RN;bn:00090876v;modeling;2
2011-RN;bn:00108977a;present;2
2011-RN;bn:01648323n;descriptive knowledge;1
2011-RN;bn:02841200n;separation process;1
2011-RN;bn:03387425n;abstraction level;1
2011-RN;bn:15340438n;process work;1
2012-R;bn:00005934n;deco;2
2012-R;bn:00020452n;knowledge;1
2012-R;bn:00021547n;concept;1
2012-R;bn:00021961n;effect;1
2012-R;bn:00022168n;context;1
2012-R;bn:00023853n;criterion;1
2012-R;bn:00027407n;handicap;1
2012-R;bn:00032100n;example;1
2012-R;bn:00033729n;manner;2
2012-R;bn:00047021n;reason;1
2012-R;bn:00047734n;control flow;1
2012-R;bn:00052815n;post;1
2012-R;bn:00055452n;modeler;1
2012-R;bn:00059480n;formation;2
2012-R;bn:00060099n;bpm;1
2012-R;bn:00061314n;pen;1
2012-R;bn:00077462n;today;1
2012-R;bn:00083370v;believe;1
2012-R;bn:00084801v;characterize;1
2012-R;bn:00087826v;illustrate;1
2012-R;bn:00090876v;modeling;2
2012-R;bn:00092757v;remain;1
2012-R;bn:00104644a;imperative;1
2012-R;bn:00285715n;process automation;1
2012-R;bn:00912901n;process model;2
2012-R;bn:01190125n;scenario;1
2012-R;bn:03127800n;management process;1
2012-R;bn:03191980n;process specification language;1
2012-R;bn:03537096n;case management;3
2013-BBRWa;bn:00007020n;attention;1
2013-BBRWa;bn:00014137n;business;1
2013-BBRWa;bn:00021496n;simulation;1
2013-BBRWa;bn:00033729n;manner;1
2013-BBRWa;bn:00056990n;natural language;1
2013-BBRWa;bn:00073206n;specialist;1
2013-BBRWa;bn:00077585n;tool;1
2013-BBRWa;bn:00087626v;enforce;3
2013-BBRWa;bn:01096526n;business rule;3
2013-BBRWa;bn:01384947n;declarative language;1
2013-BBRWa;bn:15051182n;capture;1
2013-BBRWa;bn:15125301n;system;1
2013-BBRWb;bn:00003125n;modification;1
2013-BBRWb;bn:00014137n;business;3
2013-BBRWb;bn:00022991n;creation;1
2013-BBRWb;bn:00032060n;evolution;1
2013-BBRWb;bn:00047734n;control flow;1
2013-BBRWb;bn:00054061n;mechanism;1
2013-BBRWb;bn:00064755n;property;1
2013-BBRWb;bn:00066506n;response;1
2013-BBRWb;bn:00070651n;service;5
